GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0100000US,,United States,1131,Timber tract operations,2016,480,4181,53775,216893
0100000US,,United States,1132,Forest nurseries and gathering of forest products,2016,183,1357,11639,47568
0100000US,,United States,1133,Logging,2016,8076,50188,523391,2190962
0100000US,,United States,1141,Fishing,2016,2449,5461,65004,347059
0100000US,,United States,1142,Hunting and trapping,2016,358,1650,12469,54060
0100000US,,United States,1151,Support activities for crop production,2016,4848,66007,538269,2575604
0100000US,,United States,1152,Support activities for animal production,2016,4488,19885,158349,673868
0100000US,,United States,1153,Support activities for forestry,2016,1712,11682,110287,492498
0100000US,,United States,2111,Oil and gas extraction,2016,7330,122140,4852906,15295715
0100000US,,United States,2121,Coal mining,2016,800,55008,1072877,4076457
0100000US,,United States,2122,Metal ore mining,2016,331,37863,876998,3187622
0100000US,,United States,2123,Nonmetallic mineral mining and quarrying,2016,5073,81029,1115962,4993643
0100000US,,United States,2131,Support activities for mining,2016,13700,290977,5999050,21844271
0100000US,,United States,2211,"Electric power generation, transmission and distribution",2016,10802,507431,16544310,54667991
0100000US,,United States,2212,Natural gas distribution,2016,2578,88366,2311519,8087513
0100000US,,United States,2213,"Water, sewage and other systems",2016,4779,43120,700512,2647394
0100000US,,United States,2361,Residential building construction,2016,168202,664259,7727676,34415684
0100000US,,United States,2362,Nonresidential building construction,2016,42267,649276,10545381,46496552
0100000US,,United States,2371,Utility system construction,2016,19315,551870,8489988,38306779
0100000US,,United States,2372,Land subdivision,2016,5063,25557,427494,1830086
0100000US,,United States,2373,"Highway, street, and bridge construction",2016,9760,275012,3903589,21284183
0100000US,,United States,2379,Other heavy and civil engineering construction,2016,4339,89154,1418648,6086599
0100000US,,United States,2381,"Foundation, structure, and building exterior contractors",2016,90244,812186,8565266,41420556
0100000US,,United States,2382,Building equipment contractors,2016,178345,1917425,25702002,113798503
0100000US,,United States,2383,Building finishing contractors,2016,111822,751977,7635734,35302157
0100000US,,United States,2389,Other specialty trade contractors,2016,67376,574548,6362672,32314984
0100000US,,United States,3111,Animal food manufacturing,2016,1769,53217,700317,2829608
0100000US,,United States,3112,Grain and oilseed milling,2016,865,55745,811674,3430270
0100000US,,United States,3113,Sugar and confectionery product manufacturing,2016,1940,79263,868084,3676869
0100000US,,United States,3114,Fruit and vegetable preserving and specialty food manufacturing,2016,1874,156270,1644953,7317088
0100000US,,United States,3115,Dairy product manufacturing,2016,1706,143351,1890613,7600048
0100000US,,United States,3116,Animal slaughtering and processing,2016,3586,496847,4246696,18215398
0100000US,,United States,3117,Seafood product preparation and packaging,2016,586,30554,317108,1380087
0100000US,,United States,3118,Bakeries and tortilla manufacturing,2016,11063,295047,2571684,10920480
0100000US,,United States,3119,Other food manufacturing,2016,3749,196499,2310015,9907656
0100000US,,United States,3121,Beverage manufacturing,2016,8319,184761,2117014,9363249
0100000US,,United States,3122,Tobacco manufacturing,2016,146,13266,267231,879556
0100000US,,United States,3131,"Fiber, yarn, and thread mills",2016,331,25170,209806,869473
0100000US,,United States,3132,Fabric mills,2016,900,47958,498439,2036517
0100000US,,United States,3133,Textile and fabric finishing and fabric coating mills,2016,920,28824,304970,1238549
0100000US,,United States,3141,Textile furnishings mills,2016,1761,54151,484586,1980781
0100000US,,United States,3149,Other textile product mills,2016,4270,58862,495576,2128125
0100000US,,United States,3151,Apparel knitting mills,2016,247,12014,77652,344079
0100000US,,United States,3152,Cut and sew apparel manufacturing,2016,5430,77289,499829,2158275
0100000US,,United States,3159,Apparel accessories and other apparel manufacturing,2016,585,7488,52417,230481
0100000US,,United States,3161,Leather and hide tanning and finishing,2016,205,3517,32876,142414
0100000US,,United States,3162,Footwear manufacturing,2016,232,11413,99163,409212
0100000US,,United States,3169,Other leather and allied product manufacturing,2016,766,10748,84668,401925
0100000US,,United States,3211,Sawmills and wood preservation,2016,3213,84792,892037,3792895
0100000US,,United States,3212,"Veneer, plywood, and engineered wood product manufacturing",2016,1412,75038,811032,3430426
0100000US,,United States,3219,Other wood product manufacturing,2016,9626,231547,1993415,8820667
0100000US,,United States,3221,"Pulp, paper, and paperboard mills",2016,453,103048,1961273,7799216
0100000US,,United States,3222,Converted paper product manufacturing,2016,3638,245415,3301289,13482374
0100000US,,United States,3231,Printing and related support activities,2016,25521,445992,4894561,20379434
0100000US,,United States,3241,Petroleum and coal products manufacturing,2016,2167,104748,3115856,10938326
0100000US,,United States,3251,Basic chemical manufacturing,2016,2490,157443,3696468,14319437
0100000US,,United States,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2016,1400,95232,1903064,7290169
0100000US,,United States,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2016,970,29651,537058,2146739
0100000US,,United States,3254,Pharmaceutical and medicine manufacturing,2016,2366,247268,6979152,23601735
0100000US,,United States,3255,"Paint, coating, and adhesive manufacturing",2016,1696,60058,976750,3989150
0100000US,,United States,3256,"Soap, cleaning compound, and toilet preparation manufacturing",2016,2268,96672,1485003,5979605
0100000US,,United States,3259,Other chemical product and preparation manufacturing,2016,2290,80447,1235165,5018047
0100000US,,United States,3261,Plastics product manufacturing,2016,10266,618793,6982751,29184415
0100000US,,United States,3262,Rubber product manufacturing,2016,1817,131540,1693183,6786246
0100000US,,United States,3271,Clay product and refractory manufacturing,2016,1124,33392,379260,1570231
0100000US,,United States,3272,Glass and glass product manufacturing,2016,1699,90639,1127762,4738287
0100000US,,United States,3273,Cement and concrete product manufacturing,2016,8639,169201,1928395,8995712
0100000US,,United States,3274,Lime and gypsum product manufacturing,2016,323,13619,214391,883525
0100000US,,United States,3279,Other nonmetallic mineral product manufacturing,2016,3184,75786,926779,3942730
0100000US,,United States,3311,Iron and steel mills and ferroalloy manufacturing,2016,611,93759,1788177,7125185
0100000US,,United States,3312,Steel product manufacturing from purchased steel,2016,673,46596,640825,2611859
0100000US,,United States,3313,Alumina and aluminum production and processing,2016,543,57221,919041,3395970
0100000US,,United States,3314,Nonferrous metal (except aluminum) production and processing,2016,942,59265,900403,3585137
0100000US,,United States,3315,Foundries,2016,1695,119032,1528328,6020248
0100000US,,United States,3321,Forging and stamping,2016,2443,110014,1394910,5762461
0100000US,,United States,3322,Cutlery and handtool manufacturing,2016,1165,36303,464307,1936780
0100000US,,United States,3323,Architectural and structural metals manufacturing,2016,12765,347250,4034733,17376467
0100000US,,United States,3324,"Boiler, tank, and shipping container manufacturing",2016,1533,84624,1231793,5049608
0100000US,,United States,3325,Hardware manufacturing,2016,588,28151,333425,1382345
0100000US,,United States,3326,Spring and wire product manufacturing,2016,1168,38313,426119,1814464
0100000US,,United States,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",2016,23157,372248,4433094,18744834
0100000US,,United States,3328,"Coating, engraving, heat treating, and allied activities",2016,5689,126953,1368034,5782733
0100000US,,United States,3329,Other fabricated metal product manufacturing,2016,6460,262410,3559884,14496749
0100000US,,United States,3331,"Agriculture, construction, and mining machinery manufacturing",2016,3014,188565,2637749,10386572
0100000US,,United States,3332,Industrial machinery manufacturing,2016,3181,105109,1890280,7547034
0100000US,,United States,3333,Commercial and service industry machinery manufacturing,2016,1947,72621,1165671,4714836
0100000US,,United States,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",2016,1750,126808,1582437,6591379
0100000US,,United States,3335,Metalworking machinery manufacturing,2016,6604,147167,2007247,8419931
0100000US,,United States,3336,"Engine, turbine, and power transmission equipment manufacturing",2016,1039,95958,1560977,6235887
0100000US,,United States,3339,Other general purpose machinery manufacturing,2016,5974,294522,4511707,18372696
0100000US,,United States,3341,Computer and peripheral equipment manufacturing,2016,1032,42665,810273,3372729
0100000US,,United States,3342,Communications equipment manufacturing,2016,1349,87208,1969322,7901944
0100000US,,United States,3343,Audio and video equipment manufacturing,2016,497,9751,146956,646248
0100000US,,United States,3344,Semiconductor and other electronic component manufacturing,2016,3904,262922,5104802,19486384
0100000US,,United States,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2016,5120,374176,8136563,33075352
0100000US,,United States,3346,Manufacturing and reproducing magnetic and optical media,2016,476,9665,123864,493737
0100000US,,United States,3351,Electric lighting equipment manufacturing,2016,1115,43478,578119,2394562
0100000US,,United States,3352,Household appliance manufacturing,2016,312,48916,590569,2465782
0100000US,,United States,3353,Electrical equipment manufacturing,2016,2085,116415,1711004,6739813
0100000US,,United States,3359,Other electrical equipment and component manufacturing,2016,2145,135527,2072335,8526094
0100000US,,United States,3361,Motor vehicle manufacturing,2016,337,198039,4732805,17074780
0100000US,,United States,3362,Motor vehicle body and trailer manufacturing,2016,1880,143649,1591940,6791318
0100000US,,United States,3363,Motor vehicle parts manufacturing,2016,4948,560200,7565884,29959902
0100000US,,United States,3364,Aerospace product and parts manufacturing,2016,1828,401046,9000893,35238086
0100000US,,United States,3365,Railroad rolling stock manufacturing,2016,238,29018,453277,1804053
0100000US,,United States,3366,Ship and boat building,2016,1508,140179,1995846,7951338
0100000US,,United States,3369,Other transportation equipment manufacturing,2016,944,32141,440083,1704234
0100000US,,United States,3371,Household and institutional furniture and kitchen cabinet manufacturing,2016,10726,223734,1983050,8520396
0100000US,,United States,3372,Office furniture (including fixtures) manufacturing,2016,3561,113340,1314659,5482750
0100000US,,United States,3379,Other furniture related product manufacturing,2016,744,31828,318822,1344823
0100000US,,United States,3391,Medical equipment and supplies manufacturing,2016,10428,281335,4766477,18345090
0100000US,,United States,3399,Other miscellaneous manufacturing,2016,15613,259724,2960179,12512002
0100000US,,United States,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,2016,23882,397905,5503173,22140756
0100000US,,United States,4232,Furniture and home furnishing merchant wholesalers,2016,12030,152766,2195547,9290544
0100000US,,United States,4233,Lumber and other construction materials merchant wholesalers,2016,17057,234025,3231555,13785669
0100000US,,United States,4234,Professional and commercial equipment and supplies merchant wholesalers,2016,34982,654367,15433594,61850916
0100000US,,United States,4235,Metal and mineral (except petroleum) merchant wholesalers,2016,9780,151302,2247978,9411432
0100000US,,United States,4236,Household appliances and electrical and electronic goods merchant wholesalers,2016,30414,550173,13865304,57449179
0100000US,,United States,4237,"Hardware, plumbing and heating equipment and supplies merchant wholesalers",2016,19040,240896,3782428,15556166
0100000US,,United States,4238,"Machinery, equipment, and supplies merchant wholesalers",2016,57185,759824,12258093,50096883
0100000US,,United States,4239,Miscellaneous durable goods merchant wholesalers,2016,33419,322788,4287394,18019872
0100000US,,United States,4241,Paper and paper product merchant wholesalers,2016,9517,148078,2246567,8995532
0100000US,,United States,4242,Drugs and druggists' sundries merchant wholesalers,2016,10117,298698,10121896,34723065
0100000US,,United States,4243,"Apparel, piece goods, and notions merchant wholesalers",2016,15616,199078,2865961,12163762
0100000US,,United States,4244,Grocery and related product merchant wholesalers,2016,35386,818329,10547334,43990582
0100000US,,United States,4245,Farm product raw material merchant wholesalers,2016,6245,65111,808289,3596588
0100000US,,United States,4246,Chemical and allied products merchant wholesalers,2016,12532,158170,3060976,12213386
0100000US,,United States,4247,Petroleum and petroleum products merchant wholesalers,2016,6585,99677,2184382,7575293
0100000US,,United States,4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",2016,4539,201711,3054000,12456669
0100000US,,United States,4249,Miscellaneous nondurable goods merchant wholesalers,2016,28596,352283,4572439,18142163
0100000US,,United States,4251,Wholesale electronic markets and agents and brokers,2016,45604,305567,3761220,16401011
